Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,2013-05-24,6361,660,1,0,0,0
1,6,2013-05-25,5910,604,1,0,0,0
1,7,2013-05-26,0,0,0,0,0,0
1,1,2013-05-27,8902,906,1,0,0,0
1,2,2013-05-28,7272,783,1,0,0,0
1,3,2013-05-29,6876,766,1,0,0,0
1,4,2013-05-30,7399,686,1,0,0,0
1,5,2013-05-31,7168,693,1,0,0,0
1,6,2013-06-01,5629,633,1,0,0,0
1,7,2013-06-02,0,0,0,0,0,0
1,1,2013-06-03,8157,916,1,0,0,0
1,2,2013-06-04,7033,822,1,1,0,0
1,3,2013-06-05,7364,713,1,1,0,0
1,4,2013-06-06,8647,1063,1,1,0,0
1,5,2013-06-07,8093,790,1,1,0,0
1,6,2013-06-08,6146,661,1,1,0,0
1,7,2013-06-09,0,0,0,0,0,0
1,1,2013-06-10,9425,959,1,1,0,0
1,2,2013-06-11,8850,888,1,1,0,0
1,3,2013-06-12,8531,965,1,1,0,0
1,4,2013-06-13,7474,742,1,1,0,0
1,5,2013-06-14,9306,970,1,1,0,0
1,6,2013-06-15,6480,763,1,1,0,0
1,7,2013-06-16,0,0,0,0,0,0
1,1,2013-06-17,10052,948,1,1,0,0
1,2,2013-06-18,7882,727,1,0,0,0
1,3,2013-06-19,7107,705,1,0,0,0
1,4,2013-06-20,7128,834,1,0,0,0
1,5,2013-06-21,7965,805,1,0,0,0
1,6,2013-06-22,6593,648,1,0,0,0
1,7,2013-06-23,0,0,0,0,0,0
1,1,2013-06-24,8415,831,1,0,0,0
1,2,2013-06-25,7629,779,1,0,0,0
1,3,2013-06-26,6659,705,1,0,0,0
1,4,2013-06-27,7079,785,1,0,0,0
1,5,2013-06-28,7788,976,1,0,0,0
1,6,2013-06-29,6362,651,1,0,0,0
1,7,2013-06-30,0,0,0,0,0,0
1,1,2013-07-01,8165,821,1,0,0,1
1,2,2013-07-02,8088,959,1,1,0,1
1,3,2013-07-03,7903,789,1,1,0,1
1,4,2013-07-04,8127,729,1,1,0,1
1,5,2013-07-05,9604,1004,1,1,0,1
1,6,2013-07-06,7042,745,1,1,0,1
1,7,2013-07-07,0,0,0,0,0,1
1,1,2013-07-08,9411,846,1,1,0,1
1,2,2013-07-09,9066,1044,1,1,0,1
1,3,2013-07-10,7919,820,1,1,0,1
1,4,2013-07-11,8382,946,1,1,0,1
1,5,2013-07-12,8573,946,1,1,0,1
1,6,2013-07-13,6870,726,1,1,0,1
1,7,2013-07-14,0,0,0,0,0,1
1,1,2013-07-15,8883,812,1,1,0,1
1,2,2013-07-16,6385,648,1,0,0,1
1,3,2013-07-17,7874,856,1,0,0,1
1,4,2013-07-18,6736,586,1,0,0,1
1,5,2013-07-19,7548,824,1,0,0,1
1,6,2013-07-20,5677,628,1,0,0,1
1,7,2013-07-21,0,0,0,0,0,1
1,1,2013-07-22,7699,725,1,0,0,1
1,2,2013-07-23,6842,666,1,0,0,1
1,3,2013-07-24,6989,611,1,0,0,1
1,4,2013-07-25,6254,746,1,0,0,1
1,5,2013-07-26,6882,645,1,0,0,1
1,6,2013-07-27,5780,605,1,0,0,1
1,7,2013-07-28,0,0,0,0,0,1
1,1,2013-07-29,7467,913,1,0,0,1
1,2,2013-07-30,8238,772,1,1,0,1
1,3,2013-07-31,7894,779,1,1,0,1
1,4,2013-08-01,7965,841,1,1,0,1
1,5,2013-08-02,8876,886,1,1,0,1
1,6,2013-08-03,6370,717,1,1,0,1
1,7,2013-08-04,0,0,0,0,0,1
1,1,2013-08-05,9747,1068,1,1,0,1
1,2,2013-08-06,8020,1000,1,1,0,1
1,3,2013-08-07,8086,794,1,1,0,1
1,4,2013-08-08,7978,763,1,1,0,1
1,5,2013-08-09,9030,1010,1,1,0,1
1,6,2013-08-10,7150,731,1,1,0,1
1,7,2013-08-11,0,0,0,0,0,1
1,1,2013-08-12,8170,837,1,1,0,1
1,2,2013-08-13,7272,808,1,0,0,1
1,3,2013-08-14,7126,810,1,0,0,1
1,4,2013-08-15,6451,624,1,0,0,1
1,5,2013-08-16,7837,829,1,0,0,1
1,6,2013-08-17,5326,479,1,0,0,1
1,7,2013-08-18,0,0,0,0,0,1
1,1,2013-08-19,8117,927,1,0,0,1
1,2,2013-08-20,6135,585,1,0,0,1
1,3,2013-08-21,6575,657,1,0,0,1
1,4,2013-08-22,7183,712,1,0,0,1
1,5,2013-08-23,6167,590,1,0,0,1
1,6,2013-08-24,5080,566,1,0,0,1
1,7,2013-08-25,0,0,0,0,0,1
1,1,2013-08-26,7527,804,1,0,0,1
1,2,2013-08-27,7165,846,1,1,0,1
1,3,2013-08-28,7623,821,1,1,0,1
1,4,2013-08-29,7949,752,1,1,0,1
1,5,2013-08-30,8502,877,1,1,0,1
1,6,2013-08-31,6392,759,1,1,0,1
1,7,2013-09-01,0,0,0,0,0,0
1,1,2013-09-02,7695,710,1,1,0,0
1,2,2013-09-03,8336,884,1,1,0,0
1,3,2013-09-04,7317,815,1,1,0,0
1,4,2013-09-05,7486,807,1,1,0,0
1,5,2013-09-06,8613,1035,1,1,0,0
1,6,2013-09-07,6198,583,1,1,0,0
1,7,2013-09-08,0,0,0,0,0,0
1,1,2013-09-09,8951,845,1,1,0,0
1,2,2013-09-10,5841,612,1,0,0,0
1,3,2013-09-11,6918,650,1,0,0,0
1,4,2013-09-12,6255,644,1,0,0,0
1,5,2013-09-13,7441,731,1,0,0,0
1,6,2013-09-14,5633,559,1,0,0,0
1,7,2013-09-15,0,0,0,0,0,0
1,1,2013-09-16,7048,721,1,0,0,0
1,2,2013-09-17,6603,709,1,0,0,0
1,3,2013-09-18,6408,581,1,0,0,0
1,4,2013-09-19,7038,802,1,0,0,0
1,5,2013-09-20,7181,756,1,0,0,0
1,6,2013-09-21,5519,580,1,0,0,0
1,7,2013-09-22,0,0,0,0,0,0
1,1,2013-09-23,7475,816,1,0,0,0
1,2,2013-09-24,7967,817,1,1,0,0
1,3,2013-09-25,6612,706,1,1,0,0
1,4,2013-09-26,7223,877,1,1,0,0
1,5,2013-09-27,0,0,0,1,0,0
1,6,2013-09-28,5913,686,1,1,0,0
1,7,2013-09-29,0,0,0,0,0,0
1,1,2013-09-30,8540,889,1,1,0,0
1,2,2013-10-01,7686,777,1,1,0,0
1,3,2013-10-02,6675,673,1,1,0,0
1,4,2013-10-03,0,0,0,1,a,0
1,5,2013-10-04,6770,851,1,1,0,0
1,6,2013-10-05,6570,781,1,1,0,0
1,7,2013-10-06,0,0,0,0,0,0
1,1,2013-10-07,8174,944,1,1,0,0
1,2,2013-10-08,6399,641,1,0,0,0
1,3,2013-10-09,5446,608,1,0,0,0
1,4,2013-10-10,5876,614,1,0,0,0
1,5,2013-10-11,7462,830,1,0,0,0
1,6,2013-10-12,5539,557,1,0,0,0
1,7,2013-10-13,0,0,0,0,0,0
1,1,2013-10-14,7219,790,1,0,0,0
1,2,2013-10-15,6129,708,1,0,0,0
1,3,2013-10-16,5355,551,1,0,0,0
1,4,2013-10-17,5916,694,1,0,0,0
1,5,2013-10-18,6531,664,1,0,0,0
1,6,2013-10-19,5372,463,1,0,0,0
1,7,2013-10-20,0,0,0,0,0,0
1,1,2013-10-21,7018,697,1,0,0,0
1,2,2013-10-22,7461,791,1,1,0,0
1,3,2013-10-23,7010,882,1,1,0,0
1,4,2013-10-24,6844,811,1,1,0,0
1,5,2013-10-25,6465,614,1,1,0,0
1,6,2013-10-26,5549,626,1,1,0,0
1,7,2013-10-27,0,0,0,0,0,0
1,1,2013-10-28,7583,810,1,1,0,0
1,2,2013-10-29,7657,885,1,1,0,0
1,3,2013-10-30,6750,792,1,1,0,0
1,4,2013-10-31,6397,676,1,1,0,0
1,5,2013-11-01,7292,830,1,1,0,0
1,6,2013-11-02,5290,594,1,1,0,0
1,7,2013-11-03,0,0,0,0,0,0
1,1,2013-11-04,7637,770,1,1,0,0
1,2,2013-11-05,6414,689,1,0,0,0
1,3,2013-11-06,5534,591,1,0,0,0
1,4,2013-11-07,5739,575,1,0,0,0
1,5,2013-11-08,5518,588,1,0,0,0
1,6,2013-11-09,5248,566,1,0,0,0
1,7,2013-11-10,0,0,0,0,0,0
1,1,2013-11-11,6826,680,1,0,0,0
1,2,2013-11-12,6463,689,1,0,0,0
1,3,2013-11-13,5952,622,1,0,0,0
1,4,2013-11-14,5612,632,1,0,0,0
1,5,2013-11-15,6575,746,1,0,0,0
1,6,2013-11-16,4628,458,1,0,0,0
1,7,2013-11-17,0,0,0,0,0,0
1,1,2013-11-18,7013,711,1,0,0,0
1,2,2013-11-19,6387,657,1,1,0,0
1,3,2013-11-20,6742,707,1,1,0,0
1,4,2013-11-21,5909,588,1,1,0,0
1,5,2013-11-22,7626,744,1,1,0,0
1,6,2013-11-23,5400,528,1,1,0,0
1,7,2013-11-24,0,0,0,0,0,0
1,1,2013-11-25,8136,767,1,1,0,0
1,2,2013-11-26,7234,747,1,1,0,0
1,3,2013-11-27,6807,680,1,1,0,0
1,4,2013-11-28,6831,702,1,1,0,0
1,5,2013-11-29,7253,748,1,1,0,0
1,6,2013-11-30,5581,626,1,1,0,0
1,7,2013-12-01,0,0,0,0,0,0
1,1,2013-12-02,8488,721,1,1,0,0
1,2,2013-12-03,5851,636,1,0,0,0
1,3,2013-12-04,5603,586,1,0,0,0
1,4,2013-12-05,5630,616,1,0,0,0
1,5,2013-12-06,6995,768,1,0,0,0
1,6,2013-12-07,5725,533,1,0,0,0
1,7,2013-12-08,0,0,0,0,0,0
1,1,2013-12-09,7453,817,1,0,0,0
1,2,2013-12-10,6778,824,1,0,0,0
1,3,2013-12-11,6135,690,1,0,0,0
1,4,2013-12-12,6339,779,1,0,0,0
1,5,2013-12-13,7699,769,1,0,0,0
1,6,2013-12-14,6132,522,1,0,0,0
1,7,2013-12-15,0,0,0,0,0,0
1,1,2013-12-16,7751,949,1,0,0,0
1,2,2013-12-17,8448,827,1,1,0,0
1,3,2013-12-18,8387,940,1,1,0,0
1,4,2013-12-19,7063,670,1,1,0,0
1,5,2013-12-20,9348,1008,1,1,0,1
1,6,2013-12-21,6572,731,1,1,0,1
1,7,2013-12-22,0,0,0,0,0,1
1,1,2013-12-23,10111,1000,1,1,0,1
1,2,2013-12-24,8790,943,1,1,0,1
1,3,2013-12-25,0,0,0,1,c,1
1,4,2013-12-26,0,0,0,1,c,1
1,5,2013-12-27,9157,1080,1,1,0,1
1,6,2013-12-28,6903,703,1,1,0,1
1,7,2013-12-29,0,0,0,0,0,1
1,1,2013-12-30,11412,1248,1,1,0,1
1,2,2013-12-31,7588,751,1,0,0,1
1,3,2014-01-01,0,0,0,0,a,1
1,4,2014-01-02,5846,586,1,0,0,1
1,5,2014-01-03,6585,697,1,0,0,1
1,6,2014-01-04,4332,415,1,0,0,1
1,7,2014-01-05,0,0,0,0,0,1
1,1,2014-01-06,7083,719,1,0,0,1
1,2,2014-01-07,6507,635,1,0,0,0
1,3,2014-01-08,6836,677,1,0,0,0
1,4,2014-01-09,5119,560,1,0,0,0
1,5,2014-01-10,7302,867,1,0,0,0
1,6,2014-01-11,4837,492,1,0,0,0
1,7,2014-01-12,0,0,0,0,0,0
1,1,2014-01-13,6998,675,1,0,0,0
1,2,2014-01-14,6467,739,1,1,0,0
1,3,2014-01-15,6770,772,1,1,0,0
1,4,2014-01-16,6236,632,1,1,0,0
1,5,2014-01-17,7434,787,1,1,0,0
1,6,2014-01-18,5546,694,1,1,0,0
1,7,2014-01-19,0,0,0,0,0,0
1,1,2014-01-20,7996,997,1,1,0,0
1,2,2014-01-21,6828,781,1,1,0,0
1,3,2014-01-22,7054,667,1,1,0,0
1,4,2014-01-23,6939,633,1,1,0,0
1,5,2014-01-24,7816,917,1,1,0,0
1,6,2014-01-25,5255,569,1,1,0,0
1,7,2014-01-26,0,0,0,0,0,0
1,1,2014-01-27,8059,738,1,1,0,0
1,2,2014-01-28,5808,638,1,0,0,0
1,3,2014-01-29,5812,637,1,0,0,0
1,4,2014-01-30,6288,586,1,0,0,0
1,5,2014-01-31,6488,705,1,0,0,0
1,6,2014-02-01,5126,509,1,0,0,0
1,7,2014-02-02,0,0,0,0,0,0
1,1,2014-02-03,7355,786,1,0,0,0
1,2,2014-02-04,5966,730,1,0,0,0
1,3,2014-02-05,6612,764,1,0,0,0
1,4,2014-02-06,5609,551,1,0,0,0
1,5,2014-02-07,6651,703,1,0,0,0
1,6,2014-02-08,4896,530,1,0,0,0
1,7,2014-02-09,0,0,0,0,0,0
1,1,2014-02-10,6727,722,1,0,0,0
1,2,2014-02-11,7880,809,1,1,0,0
1,3,2014-02-12,6976,678,1,1,0,0
1,4,2014-02-13,8544,1155,1,1,0,0
1,5,2014-02-14,7083,802,1,1,0,0
1,6,2014-02-15,5512,573,1,1,0,0
1,7,2014-02-16,0,0,0,0,0,0
1,1,2014-02-17,9153,932,1,1,0,0
1,2,2014-02-18,7382,760,1,1,0,0
1,3,2014-02-19,7434,803,1,1,0,0
1,4,2014-02-20,6213,684,1,1,0,0
1,5,2014-02-21,7214,775,1,1,0,0
1,6,2014-02-22,5510,529,1,1,0,0
1,7,2014-02-23,0,0,0,0,0,0
1,1,2014-02-24,8533,903,1,1,0,0
1,2,2014-02-25,5658,587,1,0,0,0
1,3,2014-02-26,5810,541,1,0,0,0
1,4,2014-02-27,5902,637,1,0,0,0
1,5,2014-02-28,6644,647,1,0,0,0
1,6,2014-03-01,5473,522,1,0,0,0
1,7,2014-03-02,0,0,0,0,0,0
1,1,2014-03-03,8280,887,1,0,0,0
1,2,2014-03-04,6736,729,1,0,0,0
1,3,2014-03-05,6303,678,1,0,0,0
1,4,2014-03-06,6046,594,1,0,0,0
1,5,2014-03-07,6793,701,1,0,0,0
1,6,2014-03-08,5533,571,1,0,0,0
1,7,2014-03-09,0,0,0,0,0,0
1,1,2014-03-10,7330,840,1,0,0,0
1,2,2014-03-11,7674,684,1,1,0,0
1,3,2014-03-12,7039,752,1,1,0,0
1,4,2014-03-13,7600,856,1,1,0,0
1,5,2014-03-14,8153,766,1,1,0,0
1,6,2014-03-15,6141,631,1,1,0,0
1,7,2014-03-16,0,0,0,0,0,0
1,1,2014-03-17,8128,866,1,1,0,0
1,2,2014-03-18,7614,824,1,1,0,0
1,3,2014-03-19,7476,798,1,1,0,0
1,4,2014-03-20,7062,841,1,1,0,0
1,5,2014-03-21,8925,946,1,1,0,0
1,6,2014-03-22,6401,657,1,1,0,0
1,7,2014-03-23,0,0,0,0,0,0
1,1,2014-03-24,9403,983,1,1,0,0
1,2,2014-03-25,6768,887,1,0,0,0
1,3,2014-03-26,6285,667,1,0,0,0
1,4,2014-03-27,6594,564,1,0,0,0
1,5,2014-03-28,8017,787,1,0,0,0
1,6,2014-03-29,5513,623,1,0,0,0
1,7,2014-03-30,0,0,0,0,0,0
1,1,2014-03-31,8418,945,1,0,0,0
1,2,2014-04-01,0,0,0,0,b,0
1,3,2014-04-02,7673,832,1,0,0,0
1,4,2014-04-03,6842,715,1,0,0,0
1,5,2014-04-04,6398,800,1,0,0,0
1,6,2014-04-05,5668,661,1,0,0,0
1,7,2014-04-06,0,0,0,0,0,0
1,1,2014-04-07,8681,946,1,0,0,0
1,2,2014-04-08,9218,939,1,1,0,0
1,3,2014-04-09,7058,828,1,1,0,0
1,4,2014-04-10,8347,829,1,1,0,0
1,5,2014-04-11,7862,919,1,1,0,0
1,6,2014-04-12,6694,619,1,1,0,0
1,7,2014-04-13,0,0,0,0,0,0
1,1,2014-04-14,9840,1141,1,1,0,0
1,2,2014-04-15,7549,768,1,1,0,0
1,3,2014-04-16,8742,807,1,1,0,0
1,4,2014-04-17,8327,854,1,1,0,0
1,5,2014-04-18,8983,903,1,1,0,0
1,6,2014-04-19,6223,654,1,1,0,0
1,7,2014-04-20,0,0,0,0,0,0
1,1,2014-04-21,9079,997,1,1,0,0
1,2,2014-04-22,8055,944,1,0,0,0
1,3,2014-04-23,7323,864,1,0,0,0
1,4,2014-04-24,7698,784,1,0,0,0
1,5,2014-04-25,7160,832,1,0,0,0
1,6,2014-04-26,4953,508,1,0,0,0
1,7,2014-04-27,0,0,0,0,0,0
1,1,2014-04-28,9277,953,1,0,0,0
1,2,2014-04-29,7561,830,1,0,0,0
1,3,2014-04-30,6700,631,1,0,0,0
1,4,2014-05-01,0,0,0,0,a,0
1,5,2014-05-02,8028,765,1,0,0,0
1,6,2014-05-03,5970,671,1,0,0,0
1,7,2014-05-04,0,0,0,0,0,0
1,1,2014-05-05,8173,938,1,0,0,0
1,2,2014-05-06,8762,956,1,1,0,0
1,3,2014-05-07,9379,1010,1,1,0,0
1,4,2014-05-08,9226,1034,1,1,0,0
1,5,2014-05-09,9224,1082,1,1,0,0
1,6,2014-05-10,7849,938,1,1,0,0
1,7,2014-05-11,0,0,0,0,0,0
1,1,2014-05-12,10279,1188,1,1,0,0
1,2,2014-05-13,8638,864,1,1,0,0
1,3,2014-05-14,7029,855,1,1,0,0
1,4,2014-05-15,7243,862,1,1,0,0
1,5,2014-05-16,8431,771,1,1,0,0
1,6,2014-05-17,6917,769,1,1,0,0
1,7,2014-05-18,0,0,0,0,0,0
1,1,2014-05-19,10315,1030,1,1,0,0
1,2,2014-05-20,8405,838,1,0,0,0
1,3,2014-05-21,6553,791,1,0,0,0
1,4,2014-05-22,7242,777,1,0,0,0
1,5,2014-05-23,8357,1018,1,0,0,0
1,6,2014-05-24,5941,519,1,0,0,0
1,7,2014-05-25,0,0,0,0,0,0
1,1,2014-05-26,8238,951,1,0,0,0
1,2,2014-05-27,8759,1011,1,0,0,0
1,3,2014-05-28,7118,857,1,0,0,0
1,4,2014-05-29,8470,800,1,0,0,0
1,5,2014-05-30,8371,732,1,0,0,0
1,6,2014-05-31,6861,752,1,0,0,0
1,7,2014-06-01,0,0,0,0,0,0
1,1,2014-06-02,8957,1162,1,0,0,0
1,2,2014-06-03,8697,935,1,1,0,0
1,3,2014-06-04,8170,884,1,1,0,0
1,4,2014-06-05,8813,982,1,1,0,0
1,5,2014-06-06,8434,872,1,1,0,0
1,6,2014-06-07,6932,706,1,1,0,0
1,7,2014-06-08,0,0,0,0,0,0
1,1,2014-06-09,11895,1286,1,1,0,0
1,2,2014-06-10,9302,1079,1,1,0,0
1,3,2014-06-11,9167,914,1,1,0,0
1,4,2014-06-12,8037,845,1,1,0,0
1,5,2014-06-13,9390,920,1,1,0,0
1,6,2014-06-14,6661,657,1,1,0,0
1,7,2014-06-15,0,0,0,0,0,0
1,1,2014-06-16,10722,1284,1,1,0,0
1,2,2014-06-17,8381,942,1,0,0,0
1,3,2014-06-18,7574,875,1,0,0,0
1,4,2014-06-19,7722,764,1,0,0,0
1,5,2014-06-20,8571,876,1,0,0,0
1,6,2014-06-21,6894,664,1,0,0,0
1,7,2014-06-22,0,0,0,0,0,0
1,1,2014-06-23,10056,1040,1,0,0,0
1,2,2014-06-24,7485,716,1,0,0,0
1,3,2014-06-25,6984,707,1,0,0,0
1,4,2014-06-26,7279,762,1,0,0,0
1,5,2014-06-27,9235,864,1,0,0,0
1,6,2014-06-28,6534,681,1,0,0,0
1,7,2014-06-29,0,0,0,0,0,0
1,1,2014-06-30,9233,1046,1,0,0,0
1,2,2014-07-01,9203,915,1,1,0,1
1,3,2014-07-02,9268,884,1,1,0,1
1,4,2014-07-03,8076,854,1,1,0,1
1,5,2014-07-04,9138,866,1,1,0,1
1,6,2014-07-05,7331,925,1,1,0,1
1,7,2014-07-06,0,0,0,0,0,1
1,1,2014-07-07,10841,1145,1,1,0,1
1,2,2014-07-08,8732,979,1,1,0,1
1,3,2014-07-09,8853,776,1,1,0,1
1,4,2014-07-10,10254,1085,1,1,0,1
1,5,2014-07-11,8378,913,1,1,0,1
1,6,2014-07-12,6522,685,1,1,0,1
1,7,2014-07-13,0,0,0,0,0,1
1,1,2014-07-14,10753,1209,1,1,0,1
1,2,2014-07-15,7633,742,1,0,0,1
1,3,2014-07-16,7183,798,1,0,0,1
1,4,2014-07-17,7700,871,1,0,0,1
1,5,2014-07-18,8545,810,1,0,0,1
1,6,2014-07-19,5662,536,1,0,0,1
1,7,2014-07-20,0,0,0,0,0,1
1,1,2014-07-21,9895,1083,1,0,0,1
1,2,2014-07-22,7938,853,1,0,0,1
1,3,2014-07-23,6835,772,1,0,0,1
1,4,2014-07-24,7402,850,1,0,0,1
1,5,2014-07-25,8061,930,1,0,0,1
1,6,2014-07-26,6468,718,1,0,0,1
1,7,2014-07-27,0,0,0,0,0,1
1,1,2014-07-28,7577,919,1,0,0,1
1,2,2014-07-29,8476,876,1,1,0,1
1,3,2014-07-30,7954,821,1,1,0,1
1,4,2014-07-31,8516,784,1,1,0,1
1,5,2014-08-01,8412,938,1,1,0,1
1,6,2014-08-02,6844,703,1,1,0,1
1,7,2014-08-03,0,0,0,0,0,1
1,1,2014-08-04,9946,1070,1,1,0,1
1,2,2014-08-05,9536,945,1,1,0,1
